conc (mg/l)	time	rpm	trans
5	0.61	900	85.54591
5	4.19	900	84.87193
5	9.2	900	84.75256
5	14.19	900	84.94357
5	19.2	900	86.03798
5	24.19	900	85.41308
5	29.2	900	85.40891
5	34.19	900	85.29138
5	39.2	900	85.23751
5	44.19	900	85.67768
5	49.2	900	86.08241
5	54.19	900	85.47992
5	59.2	900	85.69528
5	64.19	900	86.46317
5	69.2	900	86.40724
5	74.19	900	86.06226
5	79.2	900	86.62206
5	84.19	900	86.71268
5	89.2	900	86.93175
5	94.19	900	87.28329
5	99.2	900	87.06874
5	104.21	900	87.48274
5	109.2	900	87.68327
5	114.21	900	87.88757
5	119.2	900	87.66364
5	124.21	900	87.83099
5	129.2	900	87.60069
5	134.21	900	87.8103
5	139.2	900	87.87967
5	144.21	900	88.22732
5	149.2	900	87.92362
5	154.21	900	88.08179
5	159.2	900	88.31534
5	164.21	900	88.13017
5	169.2	900	88.35519
5	174.21	900	88.58919
5	179.2	900	88.57238
5	184.21	900	88.73395
5	189.2	900	89.02077
5	194.21	900	88.51253
5	199.2	900	88.72488
5	204.21	900	88.76204
5	209.2	900	89.19199
5	214.21	900	89.1221
5	219.2	900	89.42363
5	224.21	900	89.36788
5	229.2	900	89.39287
5	234.21	900	88.87019
5	239.2	900	89.63542
5	244.21	900	89.55952
5	249.2	900	89.48302
5	254.21	900	89.48345
5	259.2	900	89.73708
5	264.21	900	89.35485
5	269.2	900	89.70975
5	274.21	900	89.97185
5	279.21	900	89.50028
5	284.21	900	89.69019
5	289.21	900	89.77448
5	294.21	900	89.8186
5	299.21	900	89.80261
5	304.21	900	89.75561
5	309.22	900	89.57703
5	314.21	900	89.5602
5	319.22	900	89.77659
5	324.21	900	89.4199
5	329.22	900	89.67484
5	334.21	900	89.72612
5	339.22	900	89.57116
5	344.22	900	89.76492
5	349.22	900	89.70491
5	354.22	900	89.73837
5	359.22	900	89.71827
5	364.22	900	89.47105
5	369.22	900	89.55968
5	374.22	900	89.66957
5	379.22	900	89.53153
5	384.22	900	89.55462
5	389.22	900	89.57998
5	394.22	900	89.64415
5	399.23	900	89.57941
5	404.22	900	89.70448
5	409.23	900	89.81474
5	414.22	900	89.82571
5	419.23	900	89.72262
5	424.22	900	89.69774
5	429.23	900	89.45369
5	434.22	900	89.44699
5	439.23	900	89.77755
5	444.22	900	89.7729
5	449.23	900	89.78785
5	454.22	900	89.78165
5	459.23	900	89.47743
5	464.22	900	89.58412
5	469.23	900	89.77733
5	474.22	900	89.87613
5	479.23	900	89.76208
5	484.22	900	89.8079
5	489.23	900	89.81777
5	494.22	900	89.5747
5	499.23	900	89.9903
5	504.22	900	89.91051
5	509.23	900	89.80614
5	514.24	900	89.87379
5	519.23	900	90.12038
5	524.24	900	89.72586
5	529.23	900	90.12778
5	534.24	900	90.06203
5	539.23	900	90.02784
5	544.24	900	90.02032
5	549.23	900	90.06762
5	554.24	900	89.89231
5	559.23	900	89.75398
