conc (mg/l)	time	rpm	trans
5	1.08	900	82.98978
5	6.04	900	82.67163
5	11.05	900	82.47037
5	16.04	900	82.96288
5	21.05	900	83.24616
5	26.04	900	83.11124
5	31.05	900	83.34169
5	36.04	900	83.27631
5	41.05	900	83.37213
5	46.04	900	83.15969
5	51.05	900	83.30927
5	56.04	900	83.26812
5	61.05	900	83.35358
5	66.04	900	83.79752
5	71.05	900	83.7774
5	76.04	900	83.72656
5	81.05	900	84.11535
5	86.04	900	83.94862
5	91.05	900	84.09008
5	96.04	900	84.00494
5	101.05	900	84.44658
5	106.04	900	84.34818
5	111.05	900	84.45294
5	116.04	900	84.48518
5	121.05	900	84.27591
5	126.04	900	84.62151
5	131.05	900	84.74223
5	136.04	900	84.68071
5	141.05	900	84.76086
5	146.04	900	85.0184
5	151.05	900	84.7091
5	156.04	900	84.92861
5	161.05	900	84.90218
5	166.04	900	84.8502
5	171.05	900	84.90018
5	176.04	900	85.10815
5	181.05	900	85.16587
5	186.06	900	85.39645
5	191.05	900	85.39976
5	196.06	900	85.23118
5	201.05	900	85.19716
5	206.06	900	85.15851
5	211.05	900	85.39872
5	216.06	900	85.42339
5	221.05	900	85.51154
5	226.06	900	85.7573
5	231.05	900	85.84467
5	236.06	900	85.95081
5	241.05	900	85.80068
5	246.06	900	86.12415
5	251.05	900	86.26093
5	256.06	900	86.33749
5	261.05	900	86.26185
5	266.06	900	86.20007
5	271.05	900	86.39883
5	276.06	900	86.4151
5	281.05	900	86.23334
5	286.06	900	86.38242
5	291.05	900	86.57277
5	296.06	900	86.57597
5	301.05	900	86.59867
5	306.06	900	86.60629
5	311.05	900	86.78854
5	316.06	900	86.56103
5	321.06	900	86.61378
5	326.06	900	86.73388
5	331.06	900	86.52366
5	336.06	900	86.34339
5	341.06	900	86.47425
5	346.06	900	86.60796
5	351.06	900	86.61292
5	356.06	900	86.74876
5	361.06	900	86.51054
5	366.06	900	86.54579
5	371.06	900	86.96196
5	376.06	900	86.57877
5	381.06	900	87.13636
5	386.07	900	87.09949
5	391.07	900	87.14483
5	396.07	900	87.16306
5	401.07	900	87.2818
5	406.07	900	87.32584
5	411.07	900	87.06977
5	416.07	900	87.57413
5	421.07	900	87.52472
5	426.07	900	87.49966
5	431.07	900	87.8175
5	436.07	900	87.68292
5	441.07	900	87.82693
5	446.07	900	87.70533
5	451.08	900	87.84528
5	456.07	900	87.88377
5	461.08	900	87.93745
5	466.07	900	87.68108
5	471.08	900	87.73935
5	476.07	900	87.80751
5	481.08	900	87.79736
5	486.07	900	87.66058
5	491.08	900	87.63884
5	496.07	900	87.84868
5	501.08	900	87.84026
5	506.07	900	87.84367
5	511.08	900	87.873
5	516.07	900	87.86749
5	521.08	900	87.93259
5	526.07	900	87.84445
5	531.08	900	87.87589
5	536.07	900	87.83118
5	541.08	900	87.93488
5	546.07	900	88.14982
5	551.08	900	87.70721
5	556.07	900	87.92897
5	561.08	900	88.28004
5	566.07	900	88.09924
5	571.08	900	88.58194
5	576.07	900	88.50793
5	581.08	900	88.64433
5	586.09	900	88.52158
5	591.08	900	88.65356
5	596.09	900	88.42879
5	601.08	900	88.54215
5	606.09	900	88.67245
5	611.08	900	88.77089
5	616.09	900	89.00259
5	621.08	900	88.72754
5	626.09	900	88.57495
5	631.08	900	88.64453
5	636.09	900	88.63766
5	641.08	900	88.52145
5	646.09	900	88.24308
5	651.08	900	87.97354
5	656.09	900	88.47047
5	661.08	900	88.4093
5	666.09	900	88.56118
5	671.08	900	88.68752
5	676.09	900	88.90452
5	681.08	900	88.58233
5	686.09	900	88.35935
5	691.08	900	88.36996
5	696.09	900	88.48232
5	701.08	900	88.38663
5	706.09	900	88.79757
5	711.08	900	89.30537
5	716.09	900	89.03357
5	721.08	900	88.71569
5	726.09	900	88.73154
5	731.08	900	88.29148
5	736.09	900	88.00489
5	741.08	900	87.97699
5	746.09	900	87.99612
5	751.09	900	88.0476
5	756.09	900	88.12
5	761.09	900	87.9871
5	766.09	900	88.34338
5	771.09	900	87.98102
5	776.09	900	88.1242
5	781.09	900	88.33056
5	786.09	900	88.32011
5	791.1	900	88.36118
5	796.09	900	88.70439
5	801.1	900	88.55247
5	806.09	900	88.4326
5	811.1	900	88.30922
5	816.1	900	88.22958
5	821.1	900	88.35843
5	826.1	900	88.75949
5	831.1	900	89.10053
5	836.1	900	88.47618
5	841.1	900	88.97581
5	846.1	900	88.88525
5	851.1	900	88.80113
5	856.1	900	88.99606
5	861.1	900	88.76691
5	866.1	900	88.66099
5	871.1	900	88.33058
5	876.1	900	88.66228
5	881.1	900	89.0006
5	886.1	900	88.87283
5	891.11	900	88.84266
5	896.1	900	88.68916
5	901.11	900	89.2015
5	906.1	900	88.88203
