conc (mg/l)	time	rpm	trans
6	1064.97	300	51.82268
6	1069.96	300	51.62159
6	1074.97	300	50.49482
6	1079.96	300	50.16365
6	1084.97	300	49.98856
6	1089.96	300	50.04734
6	1094.97	300	49.09778
6	1099.96	300	49.71198
6	1104.97	300	50.78572
6	1109.96	300	51.96082
6	1114.97	300	51.77245
6	1119.96	300	51.86266
6	1124.97	300	52.1128
6	1129.96	300	51.54044
6	1134.97	300	50.74055
6	1139.96	300	51.30771
6	1144.97	300	52.57003
6	1149.96	300	52.46847
6	1154.97	300	51.57471
6	1159.97	300	51.64711
6	1164.97	300	51.6758
6	1169.97	300	50.90783
6	1174.97	300	52.60513
6	1179.98	300	52.86288
6	1184.97	300	51.83949
6	1189.98	300	50.4755
6	1194.97	300	49.85019
6	1199.98	300	49.50966
6	1204.97	300	49.88435
6	1209.98	300	50.3009
6	1214.97	300	49.66663
6	1219.98	300	50.19708
6	1224.98	300	49.55848
6	1229.98	300	51.50459
6	1234.98	300	51.3674
6	1239.98	300	51.31173
6	1244.98	300	51.87781
6	1249.98	300	52.42559
6	1254.98	300	51.72665
6	1259.98	300	51.99144
6	1264.98	300	51.91569
6	1269.98	300	49.67871
6	1274.98	300	49.12206
6	1279.98	300	52.01514
6	1284.98	300	51.61131
6	1289.99	300	50.84217
6	1294.98	300	50.44204
6	1299.99	300	50.35868
6	1304.98	300	49.89122
6	1309.99	300	49.93988
6	1314.98	300	49.25812
6	1319.99	300	49.09987
6	1324.98	300	50.73787
6	1329.99	300	51.32584
6	1334.98	300	51.46995
6	1339.99	300	50.81266
6	1344.98	300	50.42069
6	1349.99	300	50.26439
6	1354.98	300	49.70151
6	1359.99	300	50.68914
6	1364.98	300	51.37891
6	1369.99	300	51.32164
6	1374.98	300	51.73406
6	1379.99	300	52.76215
6	1385	300	53.20723
6	1389.99	300	53.73925
6	1395	300	53.44592
6	1399.99	300	53.38159
6	1405	300	52.43819
6	1409.99	300	51.67779
6	1415	300	52.66707
6	1419.99	300	52.78755
6	1425	300	52.55238
6	1429.99	300	52.31708
6	1435	300	51.74512
6	1439.99	300	52.85309
6	1445	300	55.01327
6	1449.99	300	53.85573
6	1455	300	52.5511
6	1459.99	300	51.61366
6	1465	300	50.73318
6	1469.99	300	50.41771
6	1475	300	52.63612
6	1479.99	300	52.94253
6	1485	300	53.82699
6	1489.99	300	53.5974
6	1495	300	52.24079
6	1499.99	300	49.88116
6	1505	300	50.70827
6	1509.99	300	50.25108
6	1515	300	50.11595
6	1519.99	300	50.78669
6	1525	300	51.05756
6	1529.99	300	52.34489
6	1535	300	53.23844
6	1539.99	300	53.09688
6	1545	300	53.43188
6	1549.99	300	53.1722
6	1555	300	52.86599
6	1559.99	300	53.93388
6	1565	300	53.67233
6	1569.99	300	54.16867
6	1575	300	55.20414
6	1579.99	300	54.86999
6	1585	300	54.30605
6	1590.01	300	53.57716
6	1595	300	52.72657
6	1600.01	300	51.52187
6	1605	300	51.18257
6	1610.01	300	51.79191
6	1615	300	53.23248
6	1620.01	300	54.20855
6	1625	300	53.8941
6	1630.01	300	54.01644
6	1635	300	54.57547
6	1640.01	300	53.35139
6	1645.01	300	51.72695
6	1650.01	300	51.80443
6	1655.01	300	52.61535
6	1660.01	300	53.08885
6	1665.01	300	54.83245
6	1670.01	300	55.11172
6	1675.01	300	55.97021
6	1680.01	300	56.48855
6	1685.01	300	55.96362
6	1690.01	300	55.66458
6	1695.01	300	54.33679
6	1700.01	300	53.90984
6	1705.01	300	52.84909
6	1710.02	300	51.41981
6	1715.01	300	52.9237
6	1720.02	300	55.5306
6	1725.01	300	58.46177
6	1730.02	300	57.10538
6	1735.01	300	55.80337
6	1740.02	300	55.02484
6	1745.01	300	53.48706
6	1750.02	300	51.95737
6	1755.01	300	52.37851
6	1760.02	300	53.60366
6	1765.01	300	56.99279
6	1770.02	300	58.98079
6	1775.01	300	57.93766
6	1780.02	300	56.83785
6	1785.01	300	55.89484
6	1790.02	300	56.64354
6	1795.03	300	55.43158
6	1800.02	300	54.04823
6	1805.03	300	53.35499
6	1810.02	300	53.10775
6	1815.03	300	52.83425
6	1820.02	300	52.34644
6	1825.03	300	52.01424
6	1830.02	300	51.58687
6	1835.03	300	50.79107
6	1840.02	300	51.21968
6	1845.03	300	52.20349
6	1850.02	300	53.30014
6	1855.03	300	55.8969
6	1860.02	300	54.19287
6	1865.03	300	53.746
6	1870.02	300	54.06126
6	1875.03	300	53.51561
6	1880.02	300	53.47468
6	1885.03	300	53.78504
6	1890.02	300	54.83341
6	1895.03	300	55.7724
6	1900.02	300	55.82368
6	1905.03	300	56.40423
6	1910.02	300	56.43536
6	1915.03	300	56.63777
6	1920.02	300	55.51678
6	1925.03	300	54.32381
6	1930.02	300	53.78568
6	1935.03	300	52.82634
6	1940.02	300	55.3428
6	1945.03	300	56.08427
6	1950.02	300	55.43774
6	1955.03	300	53.92185
6	1960.02	300	54.35988
6	1965.03	300	56.98497
6	1970.02	300	58.76585
6	1975.03	300	59.43356
6	1980.02	300	58.6101
6	1985.03	300	57.14663
6	1990.02	300	57.65595
6	1995.03	300	59.36767
6	2000.04	300	60.92676
6	0.44	600	51.4231
6	5.11	600	50.44041
6	10.12	600	50.84729
6	15.12	600	49.85667
6	20.12	600	51.01843
6	25.11	600	50.8272
6	30.12	600	50.43566
6	35.11	600	50.65512
6	40.12	600	50.95129
6	45.11	600	49.66497
6	50.12	600	50.27348
6	55.13	600	50.35317
6	60.12	600	51.39075
6	65.13	600	50.70197
6	70.12	600	51.21614
6	75.13	600	52.07096
6	80.12	600	51.07558
6	85.13	600	51.62853
6	90.12	600	51.47966
6	95.13	600	51.25467
6	100.12	600	51.45079
6	105.13	600	51.4576
6	110.12	600	51.88908
6	115.14	600	51.79165
6	120.12	600	52.29575
6	125.13	600	52.6876
6	130.12	600	52.17386
6	135.13	600	52.26196
6	140.13	600	51.23143
6	145.13	600	51.71335
6	150.12	600	52.34044
6	155.13	600	52.06618
6	160.12	600	52.92948
6	165.14	600	51.07729
6	170.12	600	51.47269
6	175.13	600	52.13639
6	180.12	600	51.87561
6	185.13	600	52.14161
6	190.13	600	52.65965
6	195.13	600	52.25697
6	200.12	600	52.20542
6	205.13	600	52.64133
6	210.12	600	52.21745
6	215.14	600	53.48022
6	220.13	600	52.89362
6	225.13	600	53.68712
6	230.13	600	53.07505
6	235.13	600	53.05272
6	240.13	600	53.01097
6	245.14	600	53.14434
6	250.13	600	53.10326
6	255.14	600	53.62956
6	260.13	600	52.52039
6	265.14	600	53.81993
6	270.13	600	53.46552
6	275.14	600	53.49393
6	280.13	600	52.71754
6	285.14	600	54.29127
6	290.13	600	53.14437
6	295.14	600	53.40595
6	300.14	600	53.90974
6	305.14	600	53.47327
6	310.15	600	54.12428
6	315.14	600	53.92028
6	320.15	600	54.55531
6	325.14	600	53.08506
6	330.15	600	55.04993
6	335.14	600	53.38162
6	340.15	600	54.37068
6	345.14	600	53.64223
6	350.15	600	53.37257
6	355.14	600	54.15776
6	360.14	600	53.86423
6	365.15	600	53.57587
6	370.14	600	53.31348
6	375.15	600	53.00358
6	380.14	600	54.57091
6	385.15	600	53.60625
6	390.15	600	54.10095
6	395.14	600	54.01019
6	400.15	600	55.39743
6	405.14	600	53.48111
6	410.15	600	52.77621
6	415.15	600	54.63066
6	420.15	600	55.57148
6	425.15	600	55.39201
6	430.15	600	55.05616
6	435.15	600	55.18982
6	440.15	600	54.90584
6	445.15	600	55.41971
6	450.15	600	54.44278
6	455.16	600	56.28704
6	460.15	600	58.2618
6	465.16	600	56.01816
6	470.15	600	56.30115
6	475.16	600	56.18951
6	480.15	600	56.83252
6	485.16	600	55.79721
6	490.15	600	55.53964
6	495.16	600	58.5063
6	500.16	600	56.0574
6	505.15	600	54.80982
6	510.16	600	55.24845
6	515.15	600	56.75513
6	520.16	600	54.90814
6	525.15	600	57.34033
6	530.16	600	54.27448
6	535.15	600	55.32949
6	540.16	600	56.53555
6	545.15	600	56.70796
6	550.16	600	55.66008
