conc (mg/l)	time	rpm	trans
5	2.05	900	83.87486
5	5.81	900	83.64971
5	9.79	900	83.98823
5	14.77	900	83.88296
5	19.78	900	84.0444
5	24.77	900	83.57475
5	29.78	900	84.5416
5	34.79	900	84.15557
5	39.79	900	84.47371
5	44.78	900	84.40786
5	49.77	900	84.22639
5	54.77	900	84.30878
5	59.77	900	85.34644
5	64.78	900	84.70345
5	69.82	900	84.72491
5	74.76	900	85.22656
5	79.76	900	85.1684
5	84.75	900	85.57235
5	89.76	900	85.51015
5	94.76	900	85.38125
5	99.76	900	85.13888
5	104.75	900	85.2368
5	109.75	900	85.51378
5	114.76	900	85.74438
5	119.75	900	85.9469
5	124.75	900	86.09551
5	129.75	900	86.57316
5	134.76	900	86.19052
5	139.75	900	86.32413
5	144.76	900	86.13303
5	149.75	900	86.67542
5	154.75	900	86.51809
5	159.75	900	86.35892
5	164.74	900	86.60922
5	169.75	900	86.46891
5	174.75	900	86.81815
5	179.75	900	86.3838
5	184.75	900	86.44609
5	189.73	900	86.72712
5	194.75	900	86.86673
5	199.73	900	86.78151
5	204.8	900	86.60098
5	209.73	900	87.03822
5	214.8	900	86.55367
5	219.74	900	86.33273
5	224.81	900	85.97608
5	229.73	900	86.81074
5	234.8	900	87.15915
5	239.74	900	86.9595
5	244.8	900	86.77111
5	249.8	900	86.67439
5	254.79	900	87.18204
5	259.8	900	86.90431
5	264.79	900	87.16119
5	269.81	900	87.69459
5	274.79	900	87.66396
5	279.8	900	87.69998
5	284.79	900	88.5459
5	289.8	900	88.54199
5	294.81	900	89.06964
5	299.8	900	88.74854
5	304.79	900	88.71256
5	309.79	900	88.49734
5	314.8	900	88.79733
5	319.79	900	89.31036
5	324.8	900	89.4864
5	329.79	900	89.62109
5	334.8	900	89.38136
5	339.79	900	89.8812
5	344.8	900	89.49137
5	349.79	900	89.81037
5	354.79	900	89.22977
5	359.8	900	89.61389
5	364.8	900	89.51709
5	369.8	900	90.06257
5	374.78	900	89.43088
5	379.79	900	89.90434
5	384.78	900	90.08164
5	389.79	900	90.10059
5	394.8	900	90.00745
5	399.79	900	89.98613
5	404.78	900	90.05122
5	409.79	900	89.93396
5	414.78	900	89.9811
5	419.8	900	89.83321
5	424.8	900	89.97198
5	429.78	900	89.96322
5	434.77	900	90.13108
5	439.8	900	89.99946
5	444.78	900	90.10211
5	449.78	900	90.0732
5	454.78	900	89.94295
5	459.79	900	89.68262
5	464.79	900	89.73762
5	469.78	900	89.80801
5	474.8	900	89.82205
5	479.77	900	89.83881
5	484.78	900	89.60792
5	489.77	900	89.73425
5	494.76	900	89.86026
5	499.77	900	89.58328
5	504.76	900	89.68677
5	509.77	900	89.44244
5	514.76	900	89.73962
5	519.77	900	89.56335
5	524.76	900	89.60876
5	529.79	900	89.71985
5	534.76	900	89.65651
5	539.77	900	89.67119
5	544.77	900	89.51587
5	549.77	900	89.80205
5	554.77	900	89.71227
5	559.78	900	89.56512
5	564.76	900	89.76015
5	569.78	900	89.84787
5	574.77	900	89.74369
5	579.77	900	89.75238
5	584.77	900	89.77697
5	589.77	900	89.83263
5	594.77	900	89.82392
5	599.78	900	89.88425
5	604.77	900	90.10876
5	609.77	900	90.13443
5	614.79	900	90.08714
5	619.78	900	89.91447
5	624.78	900	90.23578
5	629.78	900	90.01363
5	634.77	900	90.11584
5	639.86	900	90.181
5	644.77	900	90.22024
5	649.84	900	90.38505
5	654.77	900	90.49786
5	659.86	900	90.49338
5	664.77	900	90.75356
5	669.85	900	90.58274
5	674.77	900	90.83789
5	679.87	900	90.88626
5	684.77	900	90.71328
5	689.84	900	90.74846
5	694.77	900	90.57396
5	699.86	900	90.79506
5	704.77	900	90.82461
5	709.84	900	90.70076
5	714.77	900	90.58125
5	719.85	900	90.66939
5	724.77	900	90.591
5	729.84	900	90.55801
5	734.77	900	90.4304
5	739.84	900	90.58183
5	744.8	900	90.54678
5	749.8	900	90.61525
5	754.79	900	90.46776
5	759.84	900	90.41005
5	764.79	900	90.81897
5	769.87	900	91.04522
5	774.77	900	91.14257
5	779.84	900	91.15955
5	784.78	900	91.34994
5	789.84	900	91.17722
5	794.81	900	91.43964
5	799.84	900	91.44621
5	804.77	900	91.20662
5	809.84	900	91.37048
5	814.77	900	91.44727
5	819.85	900	91.35187
5	824.84	900	91.25811
5	829.85	900	91.23296
5	834.88	900	91.3149
5	839.85	900	90.98519
5	844.87	900	91.00919
5	849.84	900	90.9188
5	854.84	900	91.08669
5	859.85	900	91.02055
5	864.86	900	90.84841
5	869.79	900	91.11445
5	874.86	900	90.86686
5	879.79	900	90.97506
5	884.86	900	90.83753
5	889.78	900	91.20644
5	894.86	900	91.0101
5	899.85	900	90.81636
5	904.84	900	90.79733
5	909.85	900	90.83116
5	914.84	900	91.14684
5	919.85	900	91.21342
5	924.84	900	91.41154
5	929.85	900	91.40681
5	934.84	900	91.50389
5	939.87	900	91.36266
5	944.86	900	91.25568
5	949.81	900	91.11527
5	954.86	900	91.0487
5	959.79	900	90.75919
5	964.86	900	90.72493
5	969.79	900	90.61819
5	974.86	900	90.74066
5	979.79	900	90.79722
5	984.86	900	90.88181
5	989.79	900	90.94103
5	994.8	900	90.7005
5	999.79	900	91.02601
5	1004.86	900	91.08081
5	1009.79	900	91.09795
5	1014.8	900	91.16629
5	1019.84	900	91.06178
5	1024.84	900	91.23914
5	1029.87	900	91.09435
5	1034.8	900	90.9762
5	1039.87	900	91.12907
5	1044.87	900	90.93226
5	1049.85	900	91.10644
5	1054.86	900	91.22116
5	1059.88	900	91.21952
5	1064.86	900	91.00481
5	1069.86	900	90.95757
5	1074.86	900	90.8686
5	1079.85	900	90.81024
5	1084.86	900	91.09568
5	1089.86	900	91.16337
5	1094.87	900	91.27299
5	1099.85	900	91.22929
5	1104.86	900	91.28974
5	1109.86	900	91.15631
5	1114.86	900	91.09767
5	1119.86	900	90.92787
5	1124.86	900	90.97395
5	1129.87	900	90.81787
5	1134.83	900	90.84147
5	1139.87	900	90.76302
5	1144.8	900	91.02912
5	1149.87	900	90.84599
5	1154.83	900	90.95652
5	1159.88	900	90.99548
5	1164.8	900	91.153
5	1169.87	900	91.18127
5	1174.8	900	91.36016
5	1179.87	900	91.21346
5	1184.8	900	91.27023
5	1189.88	900	91.019
5	1194.81	900	91.01434
5	1199.87	900	91.30184
5	1204.8	900	91.33861
5	1209.91	900	91.03674
5	1214.8	900	90.96798
5	1219.88	900	91.31631
5	1224.8	900	91.30141
5	1229.87	900	91.21252
5	1234.93	900	91.19724
5	1239.81	900	91.33915
5	1244.88	900	90.99028
5	1249.81	900	91.39944
5	1254.88	900	91.23009
5	1259.82	900	91.22501
5	1264.93	900	91.18274
5	1269.82	900	91.21081
5	1274.89	900	91.21723
5	1279.84	900	91.1666
5	1284.88	900	91.2479
5	1289.82	900	91.15363
5	1294.93	900	91.34131
5	1299.82	900	91.32468
5	1304.89	900	91.29099
5	1309.82	900	91.33987
5	1314.92	900	91.19181
5	1319.82	900	91.16852
5	1324.88	900	91.34933
5	1329.85	900	91.39664
5	1334.89	900	91.50195
5	1339.82	900	91.48364
5	1344.89	900	91.53847
5	1349.82	900	91.47119
5	1354.89	900	91.52715
5	1359.82	900	91.57893
5	1364.89	900	91.38228
5	1369.82	900	91.45071
5	1374.83	900	91.31464
5	1379.82	900	91.27551
5	1384.82	900	91.38159
5	1389.85	900	91.37356
5	1394.83	900	91.26209
5	1399.82	900	91.21869
5	1404.86	900	91.20724
5	1409.82	900	91.31511
5	1414.86	900	91.40059
5	1419.84	900	91.49946
5	1424.83	900	91.41214
5	1429.83	900	91.55344
5	1434.83	900	91.62103
5	1439.93	900	91.57539
5	1444.83	900	91.44875
5	1449.91	900	91.55563
5	1454.83	900	91.79958
5	1459.9	900	91.48174
5	1464.83	900	91.66502
5	1469.9	900	91.4945
5	1474.83	900	91.44126
5	1479.87	900	91.44324
5	1484.87	900	91.70029
5	1489.84	900	91.58576
5	1494.83	900	91.37038
5	1499.84	900	91.32246
5	1504.86	900	91.27261
