conc (mg/l)	time	rpm	trans
6	51.59	600	80.73089
6	61.68	600	82.82584
6	71.59	600	81.78448
6	81.54	600	80.82185
6	91.54	600	82.73566
6	101.53	600	82.67266
6	111.81	600	82.34145
6	121.7	600	80.91933
6	131.75	600	82.2683
6	141.78	600	83.10643
6	151.78	600	80.94828
6	161.7	600	82.65189
6	171.72	600	82.6679
6	181.7	600	82.55856
6	191.69	600	82.99374
6	201.62	600	82.83485
6	211.69	600	82.67907
6	221.63	600	83.70382
6	231.62	600	83.5162
6	241.56	600	83.86071
6	251.55	600	82.62836
6	261.54	600	83.05944
6	271.72	600	82.64693
6	281.74	600	82.84245
6	291.78	600	81.64156
6	301.78	600	83.27444
6	311.75	600	82.95743
6	321.71	600	83.88667
6	331.68	600	83.98307
6	341.76	600	84.5315
6	351.74	600	84.7466
6	361.65	600	85.01931
6	371.66	600	85.26489
6	381.69	600	84.77596
6	391.63	600	85.48985
6	401.7	600	85.26243
6	411.63	600	85.20484
6	421.63	600	85.23547
6	431.63	600	85.106
6	441.85	600	85.68745
6	451.73	600	86.06616
6	461.77	600	86.29136
6	471.7	600	86.8725
6	481.67	600	86.87148
6	491.74	600	86.4829
6	501.71	600	86.87253
6	511.65	600	86.58677
6	521.68	600	86.71224
6	531.67	600	86.92574
6	541.64	600	86.58226
6	551.63	600	86.88365
6	561.65	600	86.85465
6	571.57	600	87.06221
6	581.85	600	87.31977
6	591.79	600	87.04732
6	601.73	600	86.58759
6	611.83	600	86.98488
6	621.72	600	86.74963
6	631.75	600	86.71201
6	641.77	600	87.07381
6	651.69	600	86.50436
6	661.76	600	87.45139
6	671.74	600	87.25563
6	681.63	600	87.129
6	691.67	600	87.60909
6	701.6	600	87.95123
6	711.68	600	87.30385
6	721.67	600	87.23347
6	731.62	600	87.67206
6	741.81	600	87.66376
6	751.82	600	87.53922
6	761.82	600	87.74277
6	771.77	600	87.7823
6	781.79	600	87.73426
6	791.73	600	87.94093
6	801.69	600	88.12821
6	811.66	600	88.32197
6	821.69	600	88.17049
6	831.69	600	87.34846
6	841.62	600	87.30244
6	851.58	600	87.06158
6	861.65	600	87.49288
6	871.85	600	87.15999
6	881.75	600	87.35264
6	891.76	600	87.10135
6	901.73	600	87.59365
6	911.71	600	87.16903
6	921.68	600	87.93995
6	931.7	600	87.52691
6	941.79	600	87.48283
6	951.7	600	87.60469
6	961.7	600	88.17709
6	971.62	600	87.96234
6	981.72	600	87.57265
6	991.69	600	86.8726
6	1001.6	600	87.63626
6	1011.84	600	87.27066
6	1021.76	600	87.20399
6	1031.84	600	87.0508
6	1041.83	600	86.87879
6	1051.78	600	87.02178
6	1061.76	600	88.03196
6	1071.8	600	87.42629
6	1081.78	600	87.58411
6	1091.76	600	87.55016
6	1101.73	600	88.18923
6	1111.7	600	88.19195
6	1121.73	600	88.78769
6	1131.67	600	88.82901
6	1141.61	600	88.50924
6	1151.64	600	88.24271
6	1161.85	600	87.97831
6	1171.81	600	88.09579
6	1181.75	600	87.83813
6	1191.82	600	87.8803
6	1201.85	600	88.06545
6	1211.8	600	87.88972
6	1221.73	600	87.94035
6	1231.72	600	87.8677
6	1241.82	600	87.77335
6	1251.79	600	88.2895
6	1261.69	600	88.39989
6	1271.74	600	88.87682
6	1281.77	600	88.60506
6	1291.69	600	88.74324
6	1301.67	600	88.54863
6	1311.76	600	88.46711
6	1321.71	600	88.79704
6	1331.67	600	88.5648
6	1341.82	600	88.47234
6	1351.8	600	88.83522
6	1361.9	600	88.2842
6	1371.83	600	88.3007
6	1381.77	600	88.63831
6	1391.81	600	88.03699
6	1401.76	600	88.38317
6	1411.73	600	88.6933
6	1421.76	600	88.4095
6	1431.77	600	88.48402
6	1441.79	600	88.62373
6	1451.67	600	88.61858
6	1461.77	600	88.75079
6	1471.74	600	88.56297
6	1481.71	600	88.61282
6	1491.62	600	88.37451
6	1501.76	600	88.80756
6	1511.64	600	88.59812
6	1521.8	600	88.45028
6	1531.86	600	88.48902
6	1541.9	600	88.90546
6	1551.79	600	88.47925
6	1561.79	600	88.49114
6	1571.84	600	88.28894
6	1581.87	600	88.29662
6	1591.83	600	88.54942
6	1601.73	600	88.27725
6	1611.84	600	88.54003
6	1621.83	600	88.43112
6	1631.76	600	88.5887
6	1641.72	600	88.65744
6	1651.81	600	88.43351
6	1661.78	600	88.50522
6	1671.7	600	88.7616
6	1681.69	600	88.73849
6	1691.78	600	88.98704
6	1701.72	600	88.78802
6	1711.66	600	88.97231
6	1721.67	600	88.45093
6	1731.65	600	88.42915
6	1741.93	600	88.20712
6	1751.87	600	88.50099
6	1761.93	600	88.0956
6	1771.86	600	88.59478
6	1781.84	600	88.44337
6	1791.79	600	88.64546
6	1801.85	600	88.37963
6	1811.75	600	88.74731
6	1821.79	600	89.05621
6	1831.76	600	88.31022
6	1841.74	600	88.3456
6	1851.71	600	88.26776
6	1861.71	600	88.42558
6	1871.71	600	88.64976
6	1881.7	600	88.09329
6	1891.79	600	88.59306
6	1901.66	600	88.62294
6	1911.71	600	88.74036
6	1921.9	600	88.46873
6	1931.91	600	88.32212
6	1941.82	600	88.46413
6	1951.8	600	88.97839
6	1961.85	600	88.58634
6	1971.79	600	88.74311
6	1981.76	600	88.95155
6	1991.85	600	89.0816
6	2001.75	600	88.82807
6	1.24	800	81.5884
6	5.05	800	80.55589
6	10.01	800	81.34624
6	15.03	800	79.24068
6	20.09	800	81.95866
6	25	800	80.86691
6	30.3	800	83.26535
6	34.97	800	82.01302
6	40.1	800	84.11957
6	45.26	800	80.08706
6	50.07	800	83.26134
6	55.19	800	82.12463
6	60.01	800	82.08044
6	65.22	800	83.13824
6	70.12	800	82.32507
6	75.27	800	83.76382
6	80.13	800	84.10426
6	84.97	800	83.14868
6	90.08	800	82.38081
6	95.1	800	84.89372
6	99.96	800	82.24843
6	105.31	800	83.24996
6	109.98	800	83.25456
6	115.12	800	83.31659
6	120.16	800	84.5353
6	125.09	800	83.8017
6	130.11	800	84.27299
6	135.25	800	83.31957
6	140.08	800	82.77573
6	145.2	800	84.56857
6	150.14	800	82.66634
6	154.96	800	83.51762
6	160.17	800	85.34882
6	164.99	800	84.54866
6	169.92	800	85.74239
6	175.36	800	85.87202
6	180.08	800	86.25717
6	185.29	800	85.57944
6	190.28	800	84.12203
6	195.01	800	84.2907
6	200.2	800	83.93749
6	205.01	800	83.34943
6	210.2	800	85.00322
6	214.97	800	84.15236
6	220.24	800	84.26451
6	225.02	800	83.43365
6	230.05	800	85.61071
6	235.05	800	84.74029
6	240.06	800	85.41478
6	244.97	800	85.98048
6	249.9	800	83.5071
6	255.01	800	85.86699
6	260.09	800	85.99587
6	264.91	800	85.84237
6	270.07	800	85.87227
6	275.1	800	86.99686
6	280.05	800	87.77912
6	284.99	800	86.71028
6	290.07	800	87.56152
6	295.12	800	87.56354
6	299.92	800	88.23677
6	305.07	800	88.57954
6	310.08	800	87.3448
6	314.91	800	87.79426
6	320.01	800	87.4864
6	325.09	800	88.15598
6	330.05	800	87.90475
6	335	800	87.83766
6	340.02	800	88.65347
6	345.1	800	88.63095
6	349.93	800	88.59476
6	355.07	800	89.16057
6	360.09	800	88.82251
6	365.11	800	88.8448
6	370.09	800	88.62917
6	374.96	800	88.50578
6	380.11	800	88.8015
6	385.09	800	88.56119
6	390.04	800	88.77956
6	394.99	800	89.30259
6	400.01	800	89.55196
6	404.95	800	88.80183
6	410.12	800	89.02573
6	415	800	89.07606
6	419.94	800	88.81152
6	424.97	800	88.98664
6	429.99	800	88.97027
6	435.02	800	89.24688
6	440.11	800	89.18966
6	445.12	800	89.04485
6	450.01	800	89.53133
6	455.08	800	89.00808
6	460.06	800	88.89784
6	464.92	800	88.74652
6	470.03	800	89.09702
6	475.08	800	89.01069
6	479.99	800	89.0719
6	485.02	800	89.17786
6	490.1	800	88.76871
6	495.07	800	89.55123
6	500.06	800	88.89954
6	505.09	800	89.1123
6	510.05	800	89.13168
6	515.06	800	88.42623
6	520.03	800	89.16522
6	525.05	800	89.23448
6	530.06	800	88.91673
6	535.02	800	88.91985
6	539.96	800	89.2639
6	545.1	800	88.80656
6	550.01	800	88.57618
6	555.04	800	89.27973
6	560.12	800	88.90649
6	565.07	800	88.87297
6	570.03	800	88.97339
6	575.13	800	89.1428
6	580.13	800	89.01334
6	584.96	800	89.41346
6	590.09	800	88.92865
6	595.14	800	89.25526
6	600.03	800	89.33845
6	605.1	800	89.1223
6	610	800	89.13603
6	614.95	800	89.12552
6	620.1	800	89.17341
6	624.99	800	89.31532
6	630.02	800	89.11465
6	634.96	800	89.0014
6	640.06	800	89.44479
6	645.01	800	89.77386
6	650.03	800	89.27924
6	655.12	800	89.39015
6	660.13	800	89.44125
6	665.07	800	89.42822
6	669.97	800	89.28104
6	675.07	800	89.35374
6	680.08	800	89.03253
6	685.09	800	89.46201
6	690.06	800	89.2532
6	695.03	800	89.20001
6	700.08	800	89.12882
6	705.06	800	89.31831
6	710.08	800	89.33579
6	715.11	800	89.57552
6	720.12	800	89.08654
6	725.13	800	89.43905
6	729.95	800	89.30015
6	734.98	800	89.4155
6	740	800	89.45732
6	745.15	800	89.45543
6	750.05	800	89.44131
6	754.99	800	89.44499
6	760.02	800	89.90022
6	764.96	800	89.69424
6	770.14	800	89.64145
6	775.15	800	89.55822
6	780.09	800	89.62865
6	785.11	800	89.36598
6	790.08	800	89.72325
6	795.11	800	89.54288
6	800.11	800	89.60303
6	805.07	800	89.0568
6	810.07	800	89.5539
6	815.04	800	89.47462
6	820.07	800	89.57581
6	825.09	800	89.63235
6	830.05	800	89.27512
6	835.08	800	89.09264
6	840	800	89.01978
6	845.11	800	88.37907
6	849.99	800	88.90577
6	855.09	800	89.39687
6	860.09	800	89.14242
6	865.12	800	89.41028
6	870.09	800	88.93407
6	875.09	800	89.3945
6	880.06	800	89.47984
6	885.14	800	88.97648
6	890.09	800	89.52734
6	895.05	800	89.40426
6	900.07	800	89.19529
6	905.15	800	89.589
6	910.04	800	89.34659
6	915.12	800	89.48682
6	920.15	800	89.32664
6	925.1	800	89.25118
6	930.07	800	89.66942
6	935.15	800	89.73171
6	939.96	800	89.23096
6	945	800	89.35771
6	950.01	800	89.39169
6	954.95	800	89.21936
6	960.06	800	89.30304
6	965.08	800	89.40032
6	970.11	800	89.48376
6	975.05	800	89.34122
6	980.12	800	89.38741
6	985.1	800	89.28234
6	990.12	800	89.46185
6	995.07	800	89.44758
6	1000.09	800	89.21705
6	1005.08	800	89.19717
6	1009.98	800	89.1879
6	1015.08	800	89.04353
6	1020.18	800	88.98822
6	1024.99	800	89.37943
6	1030.11	800	89.21349
6	1035.1	800	89.2288
6	1040.13	800	89.1757
6	1045.14	800	89.41005
6	1050.17	800	89.18285
6	1055.13	800	89.3744
6	1060.05	800	89.45531
6	1065.1	800	89.70824
6	1069.97	800	89.29662
6	1074.99	800	89.54121
6	1080.09	800	89.72168
6	1085.04	800	89.89585
6	1090.06	800	89.8437
6	1095.16	800	89.80721
6	1100.16	800	89.80072
6	1105.05	800	89.47002
6	1110.08	800	89.59663
6	1115.1	800	89.6705
6	1120.09	800	89.77329
6	1125.13	800	89.71881
6	1130.09	800	89.76189
6	1134.97	800	89.92449
6	1140.12	800	89.54347
6	1145.03	800	89.58701
6	1149.97	800	89.50461
6	1155.07	800	89.5552
6	1160.15	800	89.49144
6	1165.04	800	89.02387
6	1170.07	800	89.23644
6	1175.09	800	89.29198
6	1180.03	800	89.28226
6	1185.06	800	89.18792
6	1190.08	800	89.492
6	1195.19	800	89.631
6	1200.09	800	89.61018
6	1205	800	89.60564
6	1210.15	800	89.82971
6	1215.04	800	89.72112
6	1219.99	800	89.71217
6	1225.13	800	89.59565
6	1230.17	800	89.37714
6	1234.99	800	89.46291
6	1240.07	800	89.81034
6	1245.05	800	89.52798
6	1250.07	800	89.54686
6	1255.09	800	89.33295
6	1260.11	800	89.38074
6	1265.1	800	89.28613
6	1270.09	800	89.65147
6	1275.03	800	89.25879
6	1280.1	800	89.49334
6	1285	800	89.28206
6	1290.03	800	89.42881
6	1295.13	800	89.69457
6	1300.07	800	89.68661
6	1305.17	800	89.43368
6	1310.05	800	89.87637
6	1315.11	800	89.47141
6	1320.1	800	89.53782
6	1325.12	800	89.59953
6	1330.13	800	89.62958
6	1335.03	800	89.39282
6	1340.12	800	89.7086
6	1345.07	800	89.88108
6	1350.17	800	89.92239
6	1355.04	800	89.99837
6	1360.13	800	89.89339
6	1365.08	800	89.72825
6	1370.11	800	90.13686
6	1375.13	800	89.95917
6	1380.07	800	89.85739
6	1385.09	800	89.58643
6	1390.12	800	89.85394
6	1395.04	800	89.77332
6	1400.09	800	89.74757
6	1405.11	800	89.55957
6	1410.13	800	89.6076
6	1415.16	800	89.7044
6	1420.12	800	89.90279
6	1425.11	800	90.0715
6	1430.13	800	89.98044
6	1435.11	800	89.94447
6	1440.05	800	90.17173
6	1445.09	800	89.94504
6	1450.11	800	89.94437
6	1455.13	800	89.76455
6	1460.08	800	89.78207
6	1465.03	800	89.80383
6	1470.07	800	89.7868
6	1475.07	800	90.00666
6	1480.09	800	89.90173
6	1485.11	800	89.51202
6	1490.06	800	90.00632
6	1495.02	800	89.84809
6	1500.19	800	89.8722
6	1505.13	800	89.99473
6	1510.09	800	89.86777
6	1515.04	800	90.01312
6	1520.06	800	89.75938
6	1525.09	800	89.74843
6	1530.19	800	89.52895
6	1535.08	800	90.03535
6	1540.08	800	89.79945
6	1545.05	800	89.31074
6	1550.12	800	89.52522
6	1555.07	800	89.81528
6	1560.09	800	89.80997
6	1565.12	800	89.69282
6	1570.16	800	89.4315
6	1575.16	800	89.68084
6	1580.04	800	89.38377
6	1585.07	800	89.74875
6	1590.01	800	89.89293
6	1595.13	800	89.85673
6	1600.19	800	89.91579
6	1605.09	800	89.7578
6	1610.03	800	89.82484
6	1615.13	800	89.97813
6	1620.08	800	89.93773
6	1625.1	800	89.53667
6	1630.2	800	89.80695
6	1635.14	800	89.82114
6	1640.03	800	89.78068
6	1645.21	800	89.86967
6	1650.14	800	89.7513
6	1655.09	800	89.61939
6	1660.11	800	89.79948
6	1665.08	800	89.80335
6	1670.03	800	89.72873
6	1675.05	800	89.79476
6	1680.07	800	89.88151
6	1685.2	800	89.93405
6	1690.03	800	89.89894
6	1695.06	800	90.10509
6	1700.08	800	89.98798
6	1705.11	800	89.88153
6	1710.13	800	89.69366
6	1715.08	800	89.80104
6	1720.11	800	89.65935
6	1725.12	800	89.69894
6	1730.15	800	89.80604
6	1735.1	800	89.9136
6	1740.12	800	89.75972
6	1745.14	800	89.55078
6	1750.1	800	89.96106
6	1.24	1000	75.92305
6	5.05	1000	75.79778
6	10.01	1000	75.88203
6	15.03	1000	77.81371
6	20.09	1000	76.02122
6	25	1000	78.97955
6	30.3	1000	77.90403
6	34.97	1000	79.1875
6	40.1	1000	81.34142
6	45.26	1000	79.43537
6	50.07	1000	79.82115
6	55.19	1000	81.47727
6	60.01	1000	79.89849
6	65.22	1000	80.90078
6	70.12	1000	80.34841
6	75.27	1000	80.96363
6	80.13	1000	82.0228
6	84.97	1000	82.48898
6	90.08	1000	80.52464
6	95.1	1000	81.86745
6	99.96	1000	82.77814
6	105.31	1000	83.9332
6	109.98	1000	84.08739
6	115.12	1000	84.37605
6	120.16	1000	85.427
6	125.09	1000	84.38722
6	130.11	1000	85.60493
6	135.25	1000	85.00898
6	140.08	1000	85.93642
6	145.2	1000	85.33997
6	150.14	1000	85.61079
6	154.96	1000	83.86613
6	160.17	1000	87.0022
6	164.99	1000	86.02753
6	169.92	1000	86.14301
6	175.36	1000	86.65009
6	180.08	1000	86.23271
6	185.29	1000	86.03122
6	190.28	1000	86.57936
6	195.01	1000	87.24091
6	200.2	1000	86.98279
6	205.01	1000	87.21599
6	210.2	1000	87.18425
6	214.97	1000	86.75666
6	220.24	1000	85.91484
6	225.02	1000	86.70309
6	230.05	1000	86.51868
6	235.05	1000	86.40834
6	240.06	1000	86.13929
6	244.97	1000	87.38929
6	249.9	1000	87.77723
6	255.01	1000	86.19341
6	260.09	1000	86.27525
6	264.91	1000	87.07269
6	270.07	1000	87.14223
6	275.1	1000	86.94293
6	280.05	1000	87.33791
6	284.99	1000	86.4816
6	290.07	1000	86.91068
6	295.12	1000	87.25902
6	299.92	1000	87.54286
6	305.07	1000	88.10963
6	310.08	1000	87.56287
6	314.91	1000	87.44363
6	320.01	1000	87.9051
6	325.09	1000	88.09646
6	330.05	1000	88.41284
6	335	1000	87.87403
6	340.02	1000	87.85277
6	345.1	1000	87.92924
6	349.93	1000	88.67654
6	355.07	1000	88.65023
6	360.09	1000	88.06553
6	365.11	1000	88.17277
6	370.09	1000	88.00153
6	374.96	1000	87.72346
6	380.11	1000	87.70166
6	385.09	1000	88.17238
6	390.04	1000	89.22769
6	394.99	1000	88.73711
6	400.01	1000	88.81757
6	404.95	1000	88.58707
6	410.12	1000	88.54099
6	415	1000	88.53473
6	419.94	1000	88.53425
6	424.97	1000	88.92797
6	429.99	1000	88.17847
6	435.02	1000	88.58934
6	440.11	1000	88.97688
6	445.12	1000	88.4792
6	450.01	1000	88.14868
6	455.08	1000	88.64986
6	460.06	1000	88.0978
6	464.92	1000	88.96417
6	470.03	1000	88.45756
6	475.08	1000	88.45844
6	479.99	1000	88.44848
6	485.02	1000	88.71355
6	490.1	1000	88.98714
6	495.07	1000	88.70925
6	500.06	1000	88.88066
6	505.09	1000	88.41799
6	510.05	1000	89.19997
6	515.06	1000	89.22954
6	520.03	1000	89.16191
6	525.05	1000	88.63256
6	530.06	1000	89.20679
6	535.02	1000	89.58886
6	539.96	1000	89.24367
6	545.1	1000	89.4753
6	550.01	1000	89.17039
6	555.04	1000	88.80201
6	560.12	1000	89.34869
6	565.07	1000	89.24138
6	570.03	1000	89.68009
6	575.13	1000	89.66511
6	580.13	1000	89.0836
6	584.96	1000	89.34747
6	590.09	1000	89.27589
6	595.14	1000	89.37158
6	600.03	1000	89.19233
6	605.1	1000	89.26595
6	610	1000	89.69882
6	614.95	1000	89.05463
6	620.1	1000	89.54387
6	624.99	1000	89.43076
6	630.02	1000	89.97218
6	634.96	1000	89.76973
6	640.06	1000	89.52991
6	645.01	1000	89.66833
6	650.03	1000	89.65641
6	655.12	1000	89.89568
6	660.13	1000	89.99039
