particle,repetition,dist_mm,dist_perc,C0,rpm,time,trans
NC7000,1,117.4781,50,6,300,1061.76,86.23203
NC7000,1,117.4781,50,6,300,1071.8,86.00312
NC7000,1,117.4781,50,6,300,1081.78,86.18737
NC7000,1,117.4781,50,6,300,1091.76,85.76527
NC7000,1,117.4781,50,6,300,1101.73,86.16128
NC7000,1,117.4781,50,6,300,1111.7,85.98186
NC7000,1,117.4781,50,6,300,1121.73,86.69305
NC7000,1,117.4781,50,6,300,1131.67,85.9843
NC7000,1,117.4781,50,6,300,1141.61,85.66679
NC7000,1,117.4781,50,6,300,1151.64,86.70274
NC7000,1,117.4781,50,6,300,1161.85,86.23733
NC7000,1,117.4781,50,6,300,1171.81,86.28238
NC7000,1,117.4781,50,6,300,1181.75,85.72523
NC7000,1,117.4781,50,6,300,1191.82,86.36759
NC7000,1,117.4781,50,6,300,1201.85,85.70911
NC7000,1,117.4781,50,6,300,1211.8,85.57273
NC7000,1,117.4781,50,6,300,1221.73,84.3262
NC7000,1,117.4781,50,6,300,1231.72,85.93691
NC7000,1,117.4781,50,6,300,1241.82,85.56314
NC7000,1,117.4781,50,6,300,1251.79,85.71281
NC7000,1,117.4781,50,6,300,1261.69,85.44249
NC7000,1,117.4781,50,6,300,1271.74,86.59
NC7000,1,117.4781,50,6,300,1281.77,86.02651
NC7000,1,117.4781,50,6,300,1291.69,86.58405
NC7000,1,117.4781,50,6,300,1301.67,86.62023
NC7000,1,117.4781,50,6,300,1311.76,86.99383
NC7000,1,117.4781,50,6,300,1321.71,87.00912
NC7000,1,117.4781,50,6,300,1331.67,87.69192
NC7000,1,117.4781,50,6,300,1341.82,88.64067
NC7000,1,117.4781,50,6,300,1351.8,88.90517
NC7000,1,117.4781,50,6,300,1361.9,88.90661
NC7000,1,117.4781,50,6,300,1371.83,89.08035
NC7000,1,117.4781,50,6,300,1381.77,89.32546
NC7000,1,117.4781,50,6,300,1391.81,89.13278
NC7000,1,117.4781,50,6,300,1401.76,89.02022
NC7000,1,117.4781,50,6,300,1411.73,88.55953
NC7000,1,117.4781,50,6,300,1421.76,88.16139
NC7000,1,117.4781,50,6,300,1431.77,87.94551
NC7000,1,117.4781,50,6,300,1441.79,88.1062
NC7000,1,117.4781,50,6,300,1451.67,88.36326
NC7000,1,117.4781,50,6,300,1461.77,88.1146
NC7000,1,117.4781,50,6,300,1471.74,87.92564
NC7000,1,117.4781,50,6,300,1481.71,88.11309
NC7000,1,117.4781,50,6,300,1491.62,88.33479
NC7000,1,117.4781,50,6,300,1501.76,88.16469
NC7000,1,117.4781,50,6,300,1511.64,88.20618
NC7000,1,117.4781,50,6,300,1521.8,87.90394
NC7000,1,117.4781,50,6,300,1531.86,87.89776
NC7000,1,117.4781,50,6,300,1541.9,88.18135
NC7000,1,117.4781,50,6,300,1551.79,88.30761
NC7000,1,117.4781,50,6,300,1561.79,88.54485
NC7000,1,117.4781,50,6,300,1571.84,88.79767
NC7000,1,117.4781,50,6,300,1581.87,89.19707
NC7000,1,117.4781,50,6,300,1591.83,89.50041
NC7000,1,117.4781,50,6,300,1601.73,89.49911
NC7000,1,117.4781,50,6,300,1611.84,89.65392
NC7000,1,117.4781,50,6,300,1621.83,89.40002
NC7000,1,117.4781,50,6,300,1631.76,89.56968
NC7000,1,117.4781,50,6,300,1641.72,88.89008
NC7000,1,117.4781,50,6,300,1651.81,88.84642
