particle,repetition,dist_mm,dist_perc,C0,time,rpm,trans
NC7000,3,117.4781,50,10,1782.16,2500,89.74848
NC7000,3,117.4781,50,10,1787.17,2500,90.13757
NC7000,3,117.4781,50,10,1792.05,2500,89.95974
NC7000,3,117.4781,50,10,1796.89,2500,89.99068
NC7000,3,117.4781,50,10,1801.76,2500,90.02922
NC7000,3,117.4781,50,10,1806.85,2500,89.87676
NC7000,3,117.4781,50,10,1811.67,2500,89.88544
NC7000,3,117.4781,50,10,1816.72,2500,89.97755
NC7000,3,117.4781,50,10,1821.87,2500,90.18003
NC7000,3,117.4781,50,10,1826.69,2500,89.77797
NC7000,3,117.4781,50,10,1831.71,2500,90.00877
NC7000,3,117.4781,50,10,1836.68,2500,89.96532
NC7000,3,117.4781,50,10,1841.69,2500,89.82894
NC7000,3,117.4781,50,10,1846.77,2500,89.85122
NC7000,3,117.4781,50,10,1851.69,2500,89.81876
NC7000,3,117.4781,50,10,1856.73,2500,89.95977
NC7000,3,117.4781,50,10,1861.75,2500,90.08559
NC7000,3,117.4781,50,10,1866.71,2500,90.09048
NC7000,3,117.4781,50,10,1871.69,2500,90.28589
NC7000,3,117.4781,50,10,1876.85,2500,90.20198
NC7000,3,117.4781,50,10,1881.87,2500,89.84806
NC7000,3,117.4781,50,10,1886.73,2500,89.96801
NC7000,3,117.4781,50,10,1891.88,2500,90.16434
NC7000,3,117.4781,50,10,1896.9,2500,89.88625
NC7000,3,117.4781,50,10,1901.72,2500,89.79956
NC7000,3,117.4781,50,10,1906.78,2500,89.95882
NC7000,3,117.4781,50,10,1911.89,2500,89.88129
NC7000,3,117.4781,50,10,1916.85,2500,90.05416
NC7000,3,117.4781,50,10,1921.84,2500,90.00432
NC7000,3,117.4781,50,10,1926.9,2500,89.80688
NC7000,3,117.4781,50,10,1931.71,2500,89.90522
NC7000,3,117.4781,50,10,1937.28,2500,89.96071
NC7000,3,117.4781,50,10,1941.69,2500,89.78008
NC7000,3,117.4781,50,10,1946.87,2500,89.99841
NC7000,3,117.4781,50,10,1951.7,2500,89.74634
NC7000,3,117.4781,50,10,1956.73,2500,89.85659
NC7000,3,117.4781,50,10,1962.27,2500,89.85554
NC7000,3,117.4781,50,10,1966.73,2500,90.10534
NC7000,3,117.4781,50,10,1971.73,2500,90.1787
